Wall time,Step,Value
1679863994,12000,1.199999928
1679864011,24000,1.386749387
1679864029,36000,1.967519164
1679864046,48000,3.229964018
1679864064,60000,5.832948685
1679864083,72000,16.65373421
1679864100,84000,56.78500748
1679864117,96000,82.22667694
1679864133,108000,100.0000153
1679864149,120000,100.0000153
1679864165,132000,89.69232178
1679864181,144000,100.0000153
1679864197,156000,98.14167786
1679864214,168000,84.37858582
1679864231,180000,92.70770264
1679864247,192000,78.72667694
1679864264,204000,100.0000153
1679864281,216000,99.89167786
1679864298,228000,100.0000153
1679864314,240000,92.39231873
1679864331,252000,100.0000153
1679864346,264000,92.52309418
1679864364,276000,98.28462982
1679864381,288000,92.44616699
1679864397,300000,100.0000153
1679864414,312000,85.97144318
1679864423,324000,100.0000153
1679864440,336000,100.0000153
1679864456,348000,92.44616699
1679864472,360000,100.0000153
1679864488,372000,100.0000153
1679864505,384000,100.0000153
1679864521,396000,100.0000153
1679864538,408000,100.0000153
1679864555,420000,100.0000153
